ID,AnzahlFluegel,Baujahr,Name,Leistung,Untergrund,Hoehe,Durchmesser,LeistungProFlaeche
1,3,2020,MaxWind-4MW,4,Land,105,137,270
2,nan,2020,WindPower-1MW,1,Land,107,119,90
3,3,2020,SuperWind-2MW,2,Wasser,110,nan,167
4,3,2020,MaxWind-4MW,nan,Land,112,121,349
5,3,2020,WindPower-1MW,1,nan,-113,110,105
6,3,2020,nan,1,Land,114,90,157
7,3,2020,MaxWind-4MW,4,Land,117,145,nan
8,3,2020,nan,4,Land,118,121,347
9,3,2020,MaxWind-4MW,4,Land,0,133,287
10,3,2020,WindPower-1MW,1,Land,120,110,105
11,nan,2021,SuperWind-2MW,nan,Land,125,130,150
12,3,2021,WindPower-1MW,1,Land,127,nan,80
13,3,2021,nan,1,Land,131,110,105
14,3,nan,MaxWind-4MW,4,Land,-132,123,339
15,3,nan,SuperWind-2MW,2,Land,133,138,133
16,3,nan,MaxWind-4MW,4,Land,134,139,264
17,3,nan,SuperWind-2MW,2,Land,139,121,174
18,3,nan,SuperWind-2MW,2,Wasser,142,130,150
19,3,2021,SuperWind-2MW,2,Land,169,141,nan
20,nan,2021,WindPower-1MW,1,nan,-170,129,77
21,3,2022,SuperWind-2MW,2,Land,171,134,142
22,3,2022,nan,2,Land,175,162,97
23,3,2022,WindPower-1MW,1,Land,177,nan,66
24,nan,2022,SuperWind-2MW,2,Land,0,142,126
25,3,2022,SuperWind-2MW,2,Wasser,179,143,124
26,3,2022,SuperWind-2MW,2,Land,186,170,88
27,3,2022,WindPower-1MW,nan,Land,-187,154,54
28,3,2022,SuperWind-2MW,2,nan,188,146,120
29,3,2022,SuperWind-2MW,2,Land,197,163,nan
30,3,2022,SuperWind-2MW,nan,Land,198,191,70
